QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
How many kilograms does a Mulgara weigh on average?	"0,1,2,3"	Less than 1	3	70	154	1	monarch-65	896	3
"Which one of the following animals weighs, on an average, less than 1 kilograms?"	"1,2,3"	Spotted seal	Spring hare	Savanna gerbil	Lion	3	monarch-65	897	1
"A Savanna gerbil , on average, weighs how many kilograms?"	"0,1,2,3"	22	less than 1	6	10	2	monarch-65	897	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Sugar glider	Black-mantled tamarin	Spanish ibex	Hairy armadillo	1	monarch-65	898	1
A sugar glider weighs _______ kilogram(s) on average.	"1,2,3"	21	7	3	less than 1	4	monarch-65	898	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Ermine	Corsac Fox	Babirusa	Malagasy giant rat	1	monarch-65	899	1
"An Ermine weighs, on average _______ kilograms."	"0,1,2,3"	1	less than 1	20	475	2	monarch-65	899	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Nile Kusu	Talapoin	Chamois	Cape porcupine	1	monarch-65	900	1
How many kilograms does a Nile kusu weigh on average?	"0,1,2,3"	Less than 1	3	4	9	1	monarch-65	900	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Neotropical river otter	Leschenault's rousette	Tasmanian red-bellied pademelon	Brindled bandicoot	2	monarch-65	901	1
"A Leschenault's rousette weighs, on average, _______ kilograms."	"0,1,2,3"	less than 1	26	11	9	1	monarch-65	901	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Congo rope squirrel	Striped skunk	South American fur seal	Mongolian gazelle	1	monarch-65	902	1
How many kilograms does a Congo rope squirrel weigh on average?	"0,1,2,3"	Less than 1	13	35	300	1	monarch-65	902	3
"Which creature weighs, on average, less than 1 kilogram?"	"1,2,3"	White-tailed mouse	Beluga	Northern sea lion	African porcupine	1	monarch-65	903	1
"White-tailed mice weigh _______, on average."	"1,2,3"	less than 1 kilogram	2 kilograms	5 kilograms	11 kilograms	1	monarch-65	903	3
"Which animal weighs, on average, less than 1 kilogram?"	"0,1,2,3"	Shorttailed opossum	Hector's dolphin	Bharal	Quokka	1	monarch-65	904	1
What is the average weight of a shorttailed opossum in kilograms?	"0,1,2,3"	less than 1	5	8	55	1	monarch-65	904	3
"The White-tailed antelope squirrel weighs, on average, less than 1"	"1,2"	Miligram	Pound	Kilogram	Ounce	3	monarch-65	905	1
"A White-tailed antelope squirrel weighs, on average _______ kilograms."	"0,1,2,3"	2	140	less than 1	86	3	monarch-65	905	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Golden hamster	Southern reedbuck	Agile wallaby	Harp seal	1	monarch-65	906	1
"A Golden hamster weighs; on average, _______ kilograms."	"0,1,2,3"	9	8	1	less than 1	4	monarch-65	906	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Northern pocket gopher	Mule Deer	Gray seal	Killer Whale	1	monarch-65	907	1
"How many kilograms does a Northern pocket gopher weigh, on an average?"	"1,2,3"	1088	76	less than 1	25	3	monarch-65	907	3
"What animal weighs, on average, less than 1 kilogram?"	"1,2"	Meerkat	Chamois	Wart Hog	Long-haired rousette	4	monarch-65	908	1
How much does a long-haired rousette generally weigh?	"0,1,2"	less than 1 kilogram	15 kilograms	9 kilograms	1 kilogram	1	monarch-65	908	3
"How many kilograms does a Central rock rat weigh, on an average?"	"0,1,2,3"	128	27	54	less than 1	4	monarch-65	909	3
What is the average weight of a Persian jird in kilograms?	"0,1,2,3"	less than 1	2	6	29	1	monarch-65	910	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	American black bear	South African fur seal	Tuco-tuco	Siberian musk deer	3	monarch-65	911	1
"On average, What is the weight of a Tuco-tuco?"	"1,2"	Less than 1 Kilogram	7 Kilograms	6 Kilograms	1 Kilogram	1	monarch-65	911	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Mid-day jird	Indian palm squirrel	Tuco-tuco	Allen's squirrel galago	2	monarch-65	912	1
An Indian palm squirrel weighs an average of _______ kilogram.	"0,1,2,3"	less than 1	88	4	3	1	monarch-65	912	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Southern tamandua	Blanford's fox	Rufous 'rat'-kangaroo	Mohave ground squirrel	4	monarch-65	913	1
"Which creature weighs, on average, less than 1 kilogram?"	"1,2,3"	North American pika	Caribbean manatee	Gorilla	Grant's gazelle	1	monarch-65	914	1
"A North American pika weighs, on average, _______ kilogram."	"0,1,2,3"	135	2	less than 1	64	3	monarch-65	914	3
Which animal weighs less than 1 kilogram?	"1,2,3"	Amazon dolphin	Emperor tamarin	Libyan jird	Caribbean manatee	3	monarch-65	915	1
"On average, What is the weight of a Libyan jird"	"1,2,3"	Less than 1 kilogram	4 kilograms	15 kilograms	103 kilograms	1	monarch-65	915	3
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Sub-Antarctic fur seal	Gray whale	Comoro black flying fox	Coruro	4	monarch-65	916	1
"A coruro weighs, on average, how many kilograms?"	"0,1,2,3"	140	less than 1	3	8	2	monarch-65	916	3
"Of the following animals, which one weighs, on average, less than 1 kilogram?"	"1,2,3"	Muskox	Eastern chipmunk	Northern naked-tailed armadillo	Diana monkey	2	monarch-65	917	1
"An eastern chipmunk weighs, on average, _______ kilograms."	"0,1,2,3"	308	60	7	less than 1	4	monarch-65	917	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Swift fox	Japanese marten	"European mole, common mole"	Swamp antechinus	3	monarch-65	918	1
"What does the European mole, common mole weigh, on average, in kilograms?"	"1,3"	Less than 1	73	100000	136000	1	monarch-65	918	3
"A Ansell's mole-rat weighs, on average, _______ kilogram."	"0,1,2,3"	9	3	1	less than 1	4	monarch-65	919	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Eastern aquatic mole	Mountain paca	Gerenuk	Silvery gibbon	1	monarch-65	920	1
"What does the eastern aquatic mole weigh, on average, in kilograms?"	"1,3"	Less than 1	1	2	14	1	monarch-65	920	3
What animal weighs on average less than 1 kilogram?	"1,2"	Nubian ibex	Gray wolf	Short bare-tailed opossum	Indian giant squirrel	3	monarch-65	921	1
"On average, What is the weight of a Short bare-tailed opossum?"	"1,2"	1 Kilogram	Less than 1 Kilogram	177 Kilograms	200 Kilograms	2	monarch-65	921	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Striped hyena	Splendid climbing mouse	Black-tailed prairie dog	White-bellied spider monkey	2	monarch-65	922	1
"A splendid climbing mouse weighs, on average, _______ kilograms."	"0,1,2,3"	1400	8	less than 1	160	3	monarch-65	922	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	White-bellied spider monkey	Spanish lynx	Long-eared chipmunk	Black rhinoceros	3	monarch-65	923	1
What is an average weight of a Long-eared chipmunk in kilograms?	"0,1,2,3"	less than 1	1	3	2	1	monarch-65	923	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Tuan	Siberian chipmunk	Parma wallaby	Ross seal	2	monarch-65	924	1
"A Siberian chipmunk weighs on average, how many kilograms?"	"0,1,2,3"	19	5	less than 1	42	3	monarch-65	924	3
"An _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Arctic lemming	Wolverine	Golden jackal	Plains viscacha	1	monarch-65	925	1
"On average, how many kilograms does an Arctic lemming weigh?"	"0,1,2,3"	18	less than 1	5	6	2	monarch-65	925	3
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Linne's two-toed sloth	Garden dormouse	Side-striped jackal	Grevy's zebra	2	monarch-65	926	1
"On average, What is the weight of a Garden dormouse?"	"1,2"	1 Kilogram	Less than 1 Kilogram	6 Kilograms	4 Kilograms	2	monarch-65	926	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Black wildebeest	Fallow deer	South American squirrel monkey	Greater spear-nosed bat	4	monarch-65	927	1
How many kilograms does a Greater spear-nosed bat weigh on average?	"0,1,2,3"	5	1	4	less than 1	4	monarch-65	927	3
"Which of these animals weighs less than 1 kilogram, on average?"	"1,2,3"	Mexican Black Howler Monkey	Cape Fox	Gambian Epauletted Fruit Bat	Masked Paul Civet	3	monarch-65	928	1
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Addax	Cape Hare	Banded Mongoose	Wahlberg's epauletted fruit bat	4	monarch-65	929	1
"A Wahlberg's epauletted fruit bat weighs, on average, _______ kilogram."	"0,1,2,3"	6	1	less than 1	11	3	monarch-65	929	3
"An Acacia rat weighs, on average, less than _______ kilogram(s)."	"0,1,2,3"	4	Less than 1	1	9	2	monarch-65	930	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Greater short-nosed fruit bat	African buffalo	Fraser's dolphin	Reeves's muntjac	1	monarch-65	931	1
"Greater short-nosed fruit bat weigh, on average, _______ kilogram(s)."	"1,2,3"	Less than 1	4	12	33	1	monarch-65	931	3
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Black wildebeest	Red-tailed chipmunk	Equatorial saki	White-whiskered spider monkey	2	monarch-65	932	1
"A Red-tailed chipmunk weighs, on average, _______ kilograms."	"0,1,2,3"	less than 1	32	6	2	1	monarch-65	932	3
Which of this animal on average weigh less than 1 kilogram?	"1,2,3"	Ibex	Markhor	Robinson's mouse opossum	North American porcupine	3	monarch-65	933	1
"How many kilograms does a Robinson's mouse opossum, on average, weigh?"	"0,1,2,3"	less than 1	1	3	9	1	monarch-65	933	3
"A Cape gerbil weighs, on average, _______ kilograms."	"0,1,2,3"	800	50	less than 1	2	3	monarch-65	934	3
_______ has an average weight of less than 1 kilograms.	"1,2,3"	Western pocket gopher	Argali	Steenbok	Sooty agouti	1	monarch-65	935	1
How much in kilograms does a Western pocket gopher weigh?	"0,1,2,3"	7	5	less than 1	3	3	monarch-65	935	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Tree hyrax	Malabar spiny dormouse	Bamboo lemur	Galanan saki	2	monarch-65	936	1
"On average, how many kilograms does a Malabar spiny dormouse weigh?"	"0,1,2,3"	less than 1	72	4	1	1	monarch-65	936	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Saiga	Townsend's chipmunk	Arabian tahr	Nutria	2	monarch-65	937	1
How much do Townsend's chipmunks typically weigh in kilograms?	"1,2,3"	73	1	less than 1	103	3	monarch-65	937	3
"Which animal weighs, on average, less than 1 kilogram?"	"0,1,2,3"	Slender squirrel	Mountain zebra	Mountain paca	Crab-eating fox	1	monarch-65	938	1
"How many kilograms does a Slender squirrel weigh, on an average?"	"0,1,2,3"	10	14	76	less than 1	4	monarch-65	938	3
What animal weighs on average less than 1 kilogram?	"1,2,3"	Potto	Coney rat	Collared peccary	Sloth	2	monarch-65	939	1
"What does the bunny or coney rat weigh, on average, in kilograms?"	"1,3"	3	Less than 1	5	6	2	monarch-65	939	3
"A _______ weighs, on average, less than 1 kilograms"	"0,1,2,3"	Gray cuscus	Bushpig	Oribi	Colorado chipmunk	4	monarch-65	940	1
"How many kilograms does a Colorado chipmunk weigh, on an average?"	"1,2,3"	lesss than 1	14	22	188	1	monarch-65	940	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Rhim gazelle	Smoky Mouse	Owl-faced monkey	Western gray kangaroo	2	monarch-65	941	1
"On average, how many kilograms does a smoky mouse weigh?"	"0,1,2,3"	3	7	less than 1	4	3	monarch-65	941	3
What animal weighs on average less than 1 kilogram?	"1,2,3"	Speckled marsupial mouse	Booted macaque	Dorcas gazelle	Abert's squirrel	1	monarch-65	942	1
"How many kilograms, on average, does a Speckled marsupial mouse weigh?"	"0,1,2,3"	less than 1	5	1	33	1	monarch-65	942	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Long-tailed vole	Northern elephant seal	Silvery gibbon	Norway lemming	4	monarch-65	943	1
"The Norway lemming weights, on average, _______ kilograms."	"0,1,2,3"	8	less than 1	7	4	2	monarch-65	943	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Sand-colored rat	Impala	Parma wallaby	Mountain hare	1	monarch-65	944	1
The average weight in kilograms of the Sand-colored rat is _______	"1,2,3"	12	Less than 1	39	2175	2	monarch-65	944	3
"Which animal weighs, on average, less than 1 kilogram?"	"0,1,2,3"	Greater bulldog bat	Moose	Franciscana	Liontail macaque	1	monarch-65	945	1
"A Greater bulldog bat weighs, on average, _______ kilograms?"	"0,1,2,3"	less than 1	1	2	11	1	monarch-65	945	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Guereza	Northern quuail	Low's squirrel	Audobon's cottontail rabbit	3	monarch-65	946	1
"How many kilograms does a Low's squirrel, on average, weigh?"	"0,1,2,3"	less than 1	1	2	46	1	monarch-65	946	3
"A collared lemming weighs, on average, _______ kilograms."	"0,1,2,3"	825	70	1	less than 1	4	monarch-65	947	3
"Which animal weight, on average, less than 1 kilogram?"	"1,2,3"	Blue whale	Chinese musket deer	Thicket rat	Pleated gibbon	3	monarch-65	948	1
"What does a Thicket rat weigh, on average, in kilograms?"	"0,1,2,3"	More than 1	Less than 1	1	0	2	monarch-65	948	3
"Which animal weighs, on average, less than 1 kilogram?"	"0,1,2,3"	Heermann's kangaroo rat	Walrus	Douc langur	Grizzled leaf monkey	1	monarch-65	949	1
"What does the Heermann's kangaroo rat weigh, on average, in kilograms?"	"1,3"	Less than 1	1	60	93	1	monarch-65	949	3
"Which one of the following animals weighs, on an average, less than 1 kilograms?"	"1,2,3"	Red kangaroo	Gray mouse lemur	African buffalo	Red river hog	2	monarch-65	950	1
"What does the gray mouse lemur weigh, on average, in kilograms?"	"1,3"	Less than 1	2	3	14	1	monarch-65	950	3
"Which creature weighs, on average, less than 1 kilogram?"	"1,2,3"	Southern flying squirrel	New Zealand sea lion	Dall's sheep	Hodgson's giant flying squirrel	1	monarch-65	951	1
A Southern flying squirrel weighs _______ kilogram on average.	"0,1,2,3"	47	18	10	less than 1	4	monarch-65	951	3
An Australian native mouse weighs how many kilograms?	"0,1,2,3"	3988	less than 1	405	10	2	monarch-65	953	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Mitred leaf monkey	Golden bandicoot	Lesser short-nosed fruit bat	Sandstone marsupial mouse	3	monarch-65	954	1
How many kilograms does a Lesser short-nosed fruit bat weigh on average?	"0,1,2,3"	Less than 1	8	24	164	1	monarch-65	954	3
What kind of animal has an average weight of less than 1 kilograms?	"1,2,3"	Lechwe	Wart hog	Bamboo lemur	Bushy-tailed jird	4	monarch-65	955	1
"A Bushy-tailed jird weighs; on average, _______ kilograms."	"0,1,2,3"	less than 1	22	20	40	1	monarch-65	955	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Paca	Black-fronted duiker	Southern elephant seal	Heath mouse	4	monarch-65	956	1
"What does the heath mouse weigh, on average, in kilograms?"	"1,3"	Less than 1	1	3	27	1	monarch-65	956	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Sable antelope	Scimitar-horned oryx	African golden cat	Cliff chipmunk	4	monarch-65	957	1
What is the average weight of a cliff chipmunk?	"1,2"	Less than 1 kilogram	3 kilograms	5 kilograms	50 kilograms	1	monarch-65	957	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Greater spear-nosed bat	Hairy-tailed mole	Guatemalan deer mouse	White-faced capuchin	2	monarch-65	958	1
What is the average weight in kilograms of a Hairy-tailed mole?	"0,1,2,3"	less than 1	200	67	5	1	monarch-65	958	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Guereza	Canada Lynx	Cretan Spiny Mouse	Black-mantled tamarin	3	monarch-65	959	1
"What does the cretan spiny mouse we, on average, in kilograms."	"1,3"	1	2	Less than 1	4	3	monarch-65	959	3
Which animal has an average weight of less than 1 kilogram?	"1,2"	Western rock wallaby	Oribi	Agile kangaroo rat	Ringtail	3	monarch-65	960	1
"On average, how many kilograms does an agile kangaroo rat weigh?"	"0,1,2,3"	2	less than 1	13	10	2	monarch-65	960	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Long-tailed mouse	Grant's gazelle	Humpback whale	Slender gerbil	1	monarch-65	961	1
"What does the long-tailed mouse weigh, on average, in kilograms?"	"1,3"	Less than 1	1	3	31	1	monarch-65	961	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Bobcat	Sooty agouti	Woodland mouse	Japanese macaque	3	monarch-65	962	1
"A woodland mouse weighs, on average, _______ kilograms."	"0,1,2,3"	75	45	less than 1	6	3	monarch-65	962	3
Which animal weighs an average of less than 1 kilograms.	"1,2,3"	Lesser tree shrew	Alpine marmot	Bohar reedbuck	Pale giant squirrel	1	monarch-65	963	1
"A lesser tree shrew weighs, on average, _______ kilograms."	"0,1,2,3"	113	2	1	less than 1	4	monarch-65	963	3
A _______ has an average weight of less than 1 kilogram.	"1,2,3"	Striped skunk	Agile wallaby	Tonkean macaque	Five-toed jerboa	4	monarch-65	964	1
A Five-toes jerboa weighs an average of _______ kilograms.	"0,1,2,3"	50	180	less than 1	5	3	monarch-65	964	3
"Which of these animals weighs, on average, less than 1 kilogram?"	"0,1,2,3"	African water rat	Spanish lynx	African buffalo	Tapir	1	monarch-65	965	1
"How many kilograms does an African water rat weigh, on an average?"	"0,1,2,3"	49	7	4	less than 1	4	monarch-65	965	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Jaguar	Pyrenean desman	Leopard cat	Dugong	2	monarch-65	966	1
How many kilograms does a Pyrenean desman weigh on average?	"0,1,2,3"	Less than 1	1	7	154	1	monarch-65	966	3
"A Rufous elephant shrew weighs, on average _______ kilograms."	"0,1,2,3"	187	less than 1	60	1	2	monarch-65	967	3
Which of this animal on average weigh less than 1 kilogram?	"1,2,3"	Small-toothed palm civet	Agile gibbon	African elephant	Tundra vole	4	monarch-65	968	1
"What does the tundra vole weigh, on average, in kilograms?"	"1,3"	1	7	Less than 1	8	3	monarch-65	968	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Marbled cat	Long-nosed cusimanse	Ord's kangaroo rat	Giant panda	3	monarch-65	969	1
How many kilograms does an Ord's kangaroo rat weigh on average?	"0,1,2,3"	Less than 1	1	16	155	1	monarch-65	969	3
"A _______ weighs, on average, _______ kilograms."	"0,1,2,3"	Fallow deer	Monk saki	Philippine pygmy fruit bat	Long-tailed tree mouse	4	monarch-65	970	1
Long-tailed tree mice weigh _______ kilograms on average.	"1,2,3"	4	less than 1	9	31	2	monarch-65	970	3
An animal weighing an average of less than 1 kilogram is called _______	"0,1,2,3"	Star-nosed mole	Pigtail macaque	Walrus	Himalayan tahr	1	monarch-65	972	1
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Burchell's zebra	Olingo	Julia Creek dunnart	Lesser panda	3	monarch-65	973	1
"A julia creek dunnart weighs, on average, _______ kilograms."	"1,2,3"	55	less than 1	3	1	2	monarch-65	973	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Richardson's collared lemming	Kirk's dik-dik	New Zealand sea lion	Abert's squirrel	1	monarch-65	974	1
"A Richardson's collared lemming weighs, on average, _______ kilograms."	"0,1,2,3"	55	85	less than 1	425	3	monarch-65	974	3
"What does the cape short-eared gerbil weigh, on average, in kilograms?"	"1,3"	Less than 1	1	7	30	1	monarch-65	975	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Giant mole-rat	Lesser Egyptian jerboa	Red brocket	Baird's tapir	2	monarch-65	976	1
Lesser Egyptian jerboa weigh _______ kilograms on average.	"1,2,3"	less than 1	2	8	17	1	monarch-65	976	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Sable	Brush Rabbit	South African broad-heated mouse	Western gray kangaroo	3	monarch-65	977	1
"On average, how many kilograms does a South African broad-headed mouse weigh?"	"0,1,2,3"	3	less than 1	5	12	2	monarch-65	977	3
"On average, What is the weight of a Golden spiny mouse?"	"1,2,3"	93 Kilograms	Less than 1 Kilogram	164 Kilograms	50 Kilograms	2	monarch-65	978	3
"A _______ weighs, on average, less than 1 kilograms"	"0,1,2,3"	king colobus	tayra	cinnamon antechinus	markhor	3	monarch-65	979	1
"A mid-day jird weighs, on average, _______ kilograms."	"0,1,2,3"	90	5	4	less than 1	4	monarch-65	980	3
"Which animal, on average, has a weight of less than 1 kilogram?"	"1,2,3"	Marsupial mole	Bat-eared fox	Dusky leaf monkey	Wolverine	1	monarch-65	981	1
"What does the Marsupial mole weigh, on average, in kilograms?"	"1,3"	Less than 1	1	4	100	1	monarch-65	981	3
"Mongolian jird weigh, on average, _______ kilogram(s)."	"1,2,3"	less than 1	1	41	8	1	monarch-65	982	3
"What weighs, on average, less than 1 kilogram?"	"1,2"	Otter civet	Striped ground squirrel	Long-eared elephant shrew	Nuttail's cottontail rabbit	3	monarch-65	983	1
"In kilograms, a Long-eared elephant shrew weighs how much on average?"	"0,1,2,3"	less than 1	12	2300	5	1	monarch-65	983	3
"Which animal weight, on average, less than 1 kilogram?"	"1,2,3"	Vole	Striped dolphin	Snow leopard	Nile lechwe	1	monarch-65	984	1
What is the average weight of a vole in kilograms?	"1,2,3"	less than 1	1	6	13	1	monarch-65	984	3
Which of the following animals weighs an average of less than 1 kilogram?	"0,1,2,3"	Mitchell's hopping mouse	Diana monkey	Mountain viscacha	Audubon's cottontail rabbit	1	monarch-65	985	1
"What does Mitchell's hopping mouse weigh, on average, in kilograms?"	"1,3"	Less than 1	4	10	113	1	monarch-65	985	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Gaur	Little spotted cat	Woolley's pseudantechinus	Slender gerbil	4	monarch-65	986	1
How many kilograms does the average Slender gerbil weigh?	"0,1,3"	4	less than 1	3	120	2	monarch-65	986	3
"How many kilograms does a Feather-tailed possum weigh, on an average?"	"0,1,2,3"	lesss than 1	280	103	3	1	monarch-65	987	3
"A _______ weighs, on average, 1 kilogram."	"0,1,2,3"	Kuhl's pipistrelle	Sassaby or blesbok	Libyan jird	Four-striped grass mouse	4	monarch-65	988	1
"What does the four-striped grass mouse weigh, on average, in kilograms?"	"1,3"	Less than 1	1	2	6	1	monarch-65	988	3
"What animal weighs, on average, less than 1 kilograms?"	"1,2,3"	Australian sea lion	Mexican tree porcupine	Southern right whale	Darwin's leaf-eared mouse	4	monarch-65	989	1
"A Darwin's leaf-eared mouse weighs, on average, how many kilograms?"	"0,1,2,3"	less than 1	725	25	6	1	monarch-65	989	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Brush-tailed porcupine	New England cottontail rabbit	Water vole	Gunther's dik-dik	3	monarch-65	990	1
What is the average weight of a water vole in kilograms?	"1,2,3"	7	6	3	less than 1	4	monarch-65	990	3
"A _______  weighs, on average, less than 1  kilograms."	"0,1,2,3"	Cuban hutia	Killer whale	Brown-bearded saki	Mexican mouse opossum	4	monarch-65	991	1
What is the average weight of a mexican mouse opossum?	"1,2"	Less than 1 kilogram	1 kilogram	16 kilograms	56 kilograms	1	monarch-65	991	3
Which animal has an average weight of less than 1 kilogram?	"1,2"	Banded mongoose	Pale gerbil	Slender-tailed cloud rat	Eastern gray kangaroo	2	monarch-65	992	1
"How many kilograms, on average, does a gerbil weigh?"	"0,1,2,3"	less than 1	9	35	225	1	monarch-65	992	3
Which animal weighs less than 1 kilogram on average?	"1,2,3"	Mountain anoa	Mongolian gazelle	Flat-headed vole	Bawean deer	3	monarch-65	993	1
"What does the Talazaci's long-tailed tenrec weigh, on average, in kilograms?"	"1,2"	Less than 1	1	3	7	1	monarch-65	994	3
"What does the common rock rat weigh, on average, in kilograms?"	"1,3"	Less than 1	1	9	40	1	monarch-65	995	3
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Black-footed rock wallaby	Woodchuck	Vesper rat	Wild cat	3	monarch-65	996	1
"What does the vesper rat weigh, on average, in kilograms?"	"1,3"	2	5	Less than 1	70	3	monarch-65	996	3
What animal weighs an average of less than 1 kilogram?	"1,2,3"	Large bamboo rat	Lemurine night monkey	Cape elephant shrew	Red deer	3	monarch-65	997	1
"How many kilograms does a cape elephant shrew, on average, weigh?"	"0,1,2,3"	less than 1	11	3	46	1	monarch-65	997	3
"A _______ weighs, on average, less than 1 kilograms"	"0,1,2,3"	Black rhinoceros	Meadow vole	Borneo gibbon	Baird's tapir	2	monarch-65	998	1
"A medow vole weighs, on average, _______ kilograms."	"0,1,2,3"	1	32	less than 1	3	3	monarch-65	998	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Dhole	Rhesus monkey	White-tailed jackrabbit	North African elephant shrew	4	monarch-65	999	1
"The North African elephant shrew weighs, on average, _______ kilograms."	"1,2,3"	90	Less than 1	10	6	2	monarch-65	999	3
"Which of following animals weigh, on average, less than 1 kilogram"	"1,2,3"	Guinea Pig	House Cat	Elephant	Rock Mouse	4	monarch-65	1000	1
"A Rock mouse weighs, on average, _______ kilograms."	"0,1,2,3"	28500	less than 1	7	1430	2	monarch-65	1000	3
"How many kilograms does a Yellow-pine chipmunk weigh, on an average?"	"0,1,2,3"	480	60	10	less than 1	4	monarch-65	1001	3
"A(n) _______ weighs, on average, less than 1 kilograms."	"0,1,2,3"	Leschenault's rousette	Common weasel	Fulvus roundleaf bat	Old World harvest mouse	2	monarch-65	1002	1
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Red-nosed mouse	Southern right whale	River dolphin	Campbell's monkey	1	monarch-65	1003	1
"What does the red-nosed mouse weigh, on average, in kilograms?"	"1,3"	1	3	26	Less than 1	4	monarch-65	1003	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Pouched mouse	Pygmy rabbit	Brandt's vole	Muskox	1	monarch-65	1004	1
"A pouched mouse weighs, on average, _______ kilograms."	"0,1,2,3"	87	less than 1	50	16	2	monarch-65	1004	3
Which animal has an average weight of less than 1 kilogram?	"1,2"	Peruvian mountain viscacha	House shrew	Oriental small-clawed otter	Moustached monkey	2	monarch-65	1005	1
What is the weight of an average size House shrew in kilograms?	"0,1,2,3"	2	1.5	Less than 1	1	3	monarch-65	1005	3
What is the average weight of a field vole?	"1,2"	Less than 1 kilogram	16 kilograms	35 kilograms	748 kilograms	1	monarch-65	1006	3
"A _______ weighs, on average, less than 1 kilogram."	"0,1,2,3"	Vlei rat	Rock dormouse	Striped field mouse	Rafinesque's big-eared bat	2	monarch-65	1007	1
"A rock dormouse weighs, on average, _______ kilograms."	"0,1,2,3"	less than 1	16	11	7	1	monarch-65	1007	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Guanaco	Peruvian mountain viscacha	Yellow-footed marsupial mouse	African golden cat	3	monarch-65	1008	1
"A yellow-footed marsupial mouse weighs, on average, _______ kilograms."	"0,1,2,3"	2175	475	7	less than 1	4	monarch-65	1008	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2"	Fisher	Mountain pygmy possum	Pacarana	Harebeest	2	monarch-65	1009	1
"How many kilograms, on average, does a Mountain pygmy possum weigh?"	"0,1,2,3"	less than 1	1	41	373	1	monarch-65	1009	3
What animal weighs on average less than 1 kilogram?	"1,2,3"	Spiny mouse	Gray-headed flying fox	Asiatic brush-tailed porcupine	Narwhal	1	monarch-65	1010	1
"What does the spiny mouse weigh, on average, in kilograms?"	"1,3"	2	Less than 1	315	38	2	monarch-65	1010	3
"Which animal weighs, on average, less than 1 kilogram?"	"1,2,3"	Greater red musk shrew	Takin	Crab-eating racoon	Greater red musk shrew	4	monarch-65	1011	1
"How many kilograms does a Greater red musk shrew weigh, on an average?"	"0,1,2,3"	13	3	less than 1	180	3	monarch-65	1011	3
